Fecha,Bola_1,Bola_2,Bola_3,Bola_4,Bola_5,Bola_6,Loto_Mas,Super_Mas
2024-03-02,6,9,14,17,36,37,10,1
2024-03-06,22,24,29,33,36,38,12,5
2024-03-09,5,7,18,33,38,40,12,1
2024-03-13,8,14,22,26,35,40,3,1
2024-03-16,10,11,12,15,32,37,7,8
2024-03-20,4,15,17,19,25,33,5,7
2024-03-23,7,10,13,18,20,39,3,15
2024-03-27,6,17,24,32,34,40,5,1
2024-03-30,11,19,31,37,38,40,7,15
2024-04-03,1,6,7,15,25,28,1,9
2024-04-06,3,9,14,23,25,27,4,6
2024-04-10,2,8,11,19,23,29,8,13
2024-04-13,3,7,9,12,15,28,3,13
2024-04-17,1,15,17,23,34,39,2,2
2024-04-20,2,6,7,15,21,29,9,9
2024-04-24,6,8,9,17,30,38,4,9
2024-04-27,2,8,11,13,20,24,5,3
2024-05-01,12,18,19,20,37,40,12,2
2024-05-04,5,12,22,23,27,31,1,3
2024-05-08,11,12,28,29,35,40,11,9
2024-05-11,2,3,27,29,33,37,11,12
2024-05-15,1,2,18,20,21,28,1,13
2024-05-18,5,9,13,15,18,22,4,2
2024-05-22,1,4,9,21,25,26,1,1
2024-05-25,5,10,12,15,29,38,1,9
2024-05-29,3,18,21,22,28,40,5,13
2024-06-01,5,7,17,27,29,40,3,1
2024-06-05,8,19,20,27,29,36,8,4
2024-06-08,5,6,7,8,30,33,2,9
2024-06-12,1,6,11,22,32,39,7,12
2024-06-15,3,6,12,14,18,27,5,5
2024-06-19,2,14,22,33,35,39,1,15
2024-06-22,6,16,25,26,27,33,6,10
2024-06-26,2,3,4,12,23,30,8,7
2024-06-29,6,8,13,25,35,39,6,5
2024-07-03,1,3,11,20,28,31,10,5
2024-07-06,12,17,19,23,34,35,8,5
2024-07-10,3,5,7,21,29,30,4,13
2024-07-13,13,16,29,31,32,33,6,6
2024-07-17,6,9,10,11,32,39,4,5
2024-07-20,7,14,19,23,36,37,7,10
2024-07-24,10,15,18,24,31,34,2,14
2024-07-27,1,7,13,15,21,29,5,4
2024-07-31,1,8,12,19,20,22,10,3
2024-08-03,6,14,20,24,25,34,4,2
2024-08-07,1,4,15,18,24,37,11,6
2024-08-10,7,10,18,19,20,28,11,12
2024-08-14,6,23,24,25,30,38,4,4
2024-08-17,7,14,15,19,27,35,7,10
2024-08-21,6,7,25,31,32,33,12,5
2024-08-24,3,9,11,18,34,35,12,5
2024-08-28,7,13,25,26,31,40,1,13
2024-08-31,4,20,22,23,36,37,9,8
2024-09-04,4,10,13,21,25,33,11,8
2024-09-07,2,3,7,8,9,34,12,6
2024-09-11,13,20,25,33,36,39,10,11
2024-09-14,9,10,14,21,22,30,1,4
2024-09-18,1,2,5,14,25,37,6,1
2024-09-21,1,3,11,12,28,30,10,15
2024-09-25,1,5,17,24,31,33,1,4
2024-09-28,4,21,25,27,36,39,12,12
2024-10-02,7,9,19,20,31,35,10,12
2024-10-05,2,13,14,27,32,33,6,2
2024-10-09,3,11,16,19,35,36,8,14
2024-10-12,9,15,20,22,37,39,2,1
2024-10-16,8,23,25,29,32,38,8,6
2024-10-19,5,20,23,24,33,38,10,14
2024-10-23,10,11,20,22,31,36,5,7
2024-10-26,1,7,20,23,26,40,5,14
2024-10-30,3,6,13,19,23,34,6,5
2024-11-02,5,10,23,25,33,38,5,6
2024-11-06,13,22,24,33,36,38,8,5
2024-11-09,3,19,20,25,28,37,2,4
2024-11-13,12,23,31,35,37,39,8,15
2024-11-16,3,23,32,33,35,39,10,12
2024-11-20,22,24,25,29,32,37,8,12
2024-11-23,3,9,13,21,22,23,10,15
2024-11-27,13,23,24,32,33,34,5,15
2024-11-30,16,17,24,31,35,38,3,15
2024-12-04,1,8,10,27,35,39,6,3
2024-12-07,2,6,8,13,24,37,2,2
